game_id,play_id,nfl_id,frame_id,x,y
2023090700,101,46137,1,56.22,17.28
2023090700,101,46137,2,56.63,16.88
2023090700,101,46137,3,57.06,16.46
2023090700,101,46137,4,57.48,16.02
2023090700,101,46137,5,57.91,15.56
2023090700,101,46137,6,58.34,15.1
2023090700,101,46137,7,58.75,14.57
2023090700,101,46137,8,59.14,14.01
2023090700,101,46137,9,59.51,13.41
2023090700,101,46137,10,59.86,12.8
2023090700,101,46137,11,60.19,12.15
2023090700,101,46137,12,60.5,11.46
2023090700,101,46137,13,60.78,10.75
2023090700,101,46137,14,61.05,10.02
2023090700,101,46137,15,61.32,9.26
2023090700,101,46137,16,61.59,8.48
2023090700,101,46137,17,61.84,7.69
2023090700,101,46137,18,62.1,6.9
2023090700,101,46137,19,62.36,6.13
2023090700,101,46137,20,62.61,5.38
2023090700,101,46137,21,62.87,4.63
2023090700,101,52546,1,47.94,12.12
2023090700,101,52546,2,47.86,11.75
2023090700,101,52546,3,47.78,11.35
2023090700,101,52546,4,47.72,10.91
2023090700,101,52546,5,47.71,10.46
2023090700,101,52546,6,47.73,10.0
2023090700,101,52546,7,47.79,9.55
2023090700,101,52546,8,47.91,9.12
2023090700,101,52546,9,48.05,8.7
2023090700,101,52546,10,48.21,8.29
2023090700,101,52546,11,48.49,8.0
2023090700,101,52546,12,48.89,7.7
2023090700,101,52546,13,49.23,7.39
2023090700,101,52546,14,49.58,7.11
2023090700,101,52546,15,49.96,6.86
2023090700,101,52546,16,50.39,6.59
2023090700,101,52546,17,50.82,6.35
2023090700,101,52546,18,51.23,6.14
2023090700,101,52546,19,51.65,5.91
2023090700,101,52546,20,52.06,5.64
2023090700,101,52546,21,52.48,5.38
2023090700,101,44930,1,53.2,13.98
2023090700,101,44930,2,53.96,13.78
2023090700,101,44930,3,54.7,13.54
2023090700,101,44930,4,55.41,13.27
2023090700,101,44930,5,56.09,12.95
2023090700,101,44930,6,56.73,12.58
2023090700,101,44930,7,57.35,12.14
2023090700,101,44930,8,57.92,11.68
2023090700,101,44930,9,58.45,11.17
2023090700,101,44930,10,58.95,10.62
2023090700,101,44930,11,59.4,10.02
2023090700,101,44930,12,59.83,9.37
2023090700,101,44930,13,60.22,8.69
2023090700,101,44930,14,60.59,7.99
2023090700,101,44930,15,60.92,7.25
2023090700,101,44930,16,61.23,6.5
2023090700,101,44930,17,61.52,5.74
2023090700,101,44930,18,61.79,4.99
2023090700,101,44930,19,62.04,4.25
2023090700,101,44930,20,62.28,3.52
2023090700,101,44930,21,62.49,2.83
2023090700,194,44888,1,85.38,30.88
2023090700,194,44888,2,85.4,30.49
2023090700,194,44888,3,85.4,30.05
2023090700,194,44888,4,85.38,29.58
2023090700,194,44888,5,85.32,29.09
2023090700,194,44888,6,85.23,28.57
2023090700,194,44888,7,85.1,28.04
2023090700,194,44888,8,84.92,27.5
2023090700,194,44888,9,84.68,26.97
2023090700,194,55910,1,77.26,28.04
2023090700,194,55910,2,77.02,28.6
2023090700,194,55910,3,76.81,29.15
2023090700,194,55910,4,76.63,29.68
2023090700,194,55910,5,76.48,30.18
2023090700,194,55910,6,76.35,30.63
2023090700,194,55910,7,76.23,31.04
2023090700,194,55910,8,76.12,31.39
2023090700,194,55910,9,76.01,31.69
2023090700,194,53953,1,76.7,18.27
2023090700,194,53953,2,76.37,18.36
2023090700,194,53953,3,76.1,18.44
2023090700,194,53953,4,75.91,18.48
2023090700,194,53953,5,75.79,18.5
2023090700,194,53953,6,75.75,18.49
2023090700,194,53953,7,75.77,18.46
2023090700,194,53953,8,75.85,18.41
2023090700,194,53953,9,75.98,18.34
2023090700,194,54653,1,90.31,22.45
2023090700,194,54653,2,89.79,22.17
2023090700,194,54653,3,89.23,21.92
2023090700,194,54653,4,88.64,21.7
2023090700,194,54653,5,88.02,21.5
2023090700,194,54653,6,87.37,21.32
2023090700,194,54653,7,86.68,21.17
2023090700,194,54653,8,85.98,21.03
2023090700,194,54653,9,85.27,20.9
2023090700,194,41325,1,88.43,21.99
2023090700,194,41325,2,87.88,21.76
2023090700,194,41325,3,87.33,21.56
2023090700,194,41325,4,86.78,21.38
2023090700,194,41325,5,86.23,21.22
2023090700,194,41325,6,85.69,21.08
2023090700,194,41325,7,85.15,20.95
2023090700,194,41325,8,84.61,20.82
2023090700,194,41325,9,84.06,20.7
2023090700,219,44888,1,72.76,16.56
2023090700,219,44888,2,72.51,16.32
2023090700,219,44888,3,72.28,16.06
2023090700,219,44888,4,72.08,15.77
2023090700,219,44888,5,71.92,15.46
2023090700,219,44888,6,71.81,15.12
2023090700,219,44888,7,71.75,14.77
2023090700,219,44888,8,71.73,14.41
2023090700,219,53953,1,70.92,9.18
2023090700,219,53953,2,70.74,9.12
2023090700,219,53953,3,70.65,9.07
2023090700,219,53953,4,70.62,9.04
2023090700,219,53953,5,70.66,9.01
2023090700,219,53953,6,70.78,9.0
2023090700,219,53953,7,70.96,8.99
2023090700,219,53953,8,71.21,8.98
2023090700,219,53591,1,75.63,10.2
2023090700,219,53591,2,75.32,10.18
2023090700,219,53591,3,75.07,10.16
2023090700,219,53591,4,74.88,10.12
2023090700,219,53591,5,74.72,10.08
2023090700,219,53591,6,74.59,10.03
2023090700,219,53591,7,74.48,9.97
2023090700,219,53591,8,74.39,9.91
2023090700,361,46137,1,35.68,46.82
2023090700,361,46137,2,35.68,46.94
2023090700,361,46137,3,35.64,47.09
2023090700,361,46137,4,35.55,47.25
2023090700,361,46137,5,35.4,47.43
2023090700,361,46137,6,35.21,47.63
2023090700,361,46137,7,34.96,47.84
2023090700,361,46137,8,34.65,48.05
2023090700,361,46137,9,34.3,48.29
2023090700,361,46137,10,33.88,48.55
2023090700,361,46137,11,33.41,48.81
2023090700,361,46137,12,32.92,49.07
2023090700,361,46137,13,32.39,49.33
2023090700,361,46137,14,31.83,49.61
2023090700,361,46137,15,31.24,49.83
2023090700,361,46137,16,30.62,50.03
2023090700,361,47882,1,31.84,30.95
2023090700,361,47882,2,31.96,31.64
2023090700,361,47882,3,32.08,32.36
2023090700,361,47882,4,32.22,33.08
2023090700,361,47882,5,32.35,33.83
2023090700,361,47882,6,32.47,34.59
2023090700,361,47882,7,32.58,35.38
2023090700,361,47882,8,32.69,36.17
2023090700,361,47882,9,32.78,36.96
2023090700,361,47882,10,32.85,37.76
2023090700,361,47882,11,32.89,38.56
2023090700,361,47882,12,32.92,39.38
2023090700,361,47882,13,32.92,40.2
2023090700,361,47882,14,32.89,41.03
2023090700,361,47882,15,32.85,41.86
2023090700,361,47882,16,32.76,42.69
2023090700,361,38696,1,34.22,48.48
2023090700,361,38696,2,34.2,48.64
2023090700,361,38696,3,34.13,48.82
2023090700,361,38696,4,34.0,49.02
2023090700,361,38696,5,33.81,49.23
2023090700,361,38696,6,33.57,49.44
2023090700,361,38696,7,33.27,49.66
